ticker,negative,neutral,positive,fact,opinion
CSX,8,0,2,1,9
ISRG,3,0,2,0,5
TXN,6,1,2,1,8
APD,0,0,3,0,3
AAPL,2,0,2,1,3
DOCN,0,0,4,1,3
GBCI,0,1,3,2,2
WRB,1,2,2,3,2
OCFC,0,2,1,2,1
SMCI,0,1,4,2,3
VG,0,1,3,2,2
SOFI,2,2,1,4,1
BFST,0,1,4,2,3
NCLH,0,1,3,1,3
CNX,2,2,0,2,2
NTRS,0,2,8,3,7
OXY,2,1,1,1,3
PLD,0,2,2,2,2
HYMTF,3,0,2,1,4
FCX,5,0,4,3,6
CRM,1,2,1,3,1
APLS,0,2,3,3,2
NEP,2,1,1,3,1
COF,1,0,3,1,3
DWTX,0,1,5,1,5
CHSN,5,1,0,1,5
LYTS,1,2,2,4,1
HFWA,1,1,3,1,4
WKSP,1,0,3,0,4
WK,3,1,1,3,2
COSM,1,1,3,2,3
ELV,2,0,3,2,3
META,2,2,10,6,8
FCCO,0,1,4,2,3
APH,0,1,4,2,3
AA,0,0,3,0,3
DFS,2,0,8,2,8
KMI,3,1,6,4,6
PLTR,0,0,4,0,4
ALLY,2,0,2,1,3
PII,2,1,2,2,3
VEEV,1,1,3,3,2
FCNCA,2,2,1,3,2
TSLA,0,1,4,1,4
CACI,0,0,4,1,3
NFLX,0,0,11,0,11
HBT,1,0,4,1,4
NEE,1,1,3,2,3
TXT,3,1,1,2,3
VZ,2,2,1,4,1
JNJ,2,0,3,1,4
AXP,0,0,5,0,5
CATY,2,2,1,3,2
BKR,4,0,6,5,5
HXL,1,0,3,1,3
DIS,0,4,1,4,1
LEN,1,1,2,3,1
WNS,3,2,0,3,2
UNP,0,1,4,2,3
HZO,3,5,2,8,2
CMA,1,1,2,1,3
HAL,2,2,1,2,3
STFS,6,0,0,0,6
BLBX,0,0,3,0,3
